Unnamed: 0,variable,value,Age,Id,Positon,Toys,Toy_1,Toy_2,Toy_1_Size,Toy_1_Weight,Toy_2_Size,Toy_2_Weight
12_22,Stand_Small Light & Small Moderate,0.0,12,22,Stand,Small Light & Small Moderate,Small Light,Small Moderate,Small,Light,Small,Moderate
12_34,Stand_Small Light & Small Moderate,0.0,12,34,Stand,Small Light & Small Moderate,Small Light,Small Moderate,Small,Light,Small,Moderate
24_29,Stand_Small Light & Small Moderate,0.0,24,29,Stand,Small Light & Small Moderate,Small Light,Small Moderate,Small,Light,Small,Moderate
12_18,Stand_Small Light & Small Moderate,0.0,12,18,Stand,Small Light & Small Moderate,Small Light,Small Moderate,Small,Light,Small,Moderate
12_02,Stand_Small Light & Small Moderate,0.0,12,02,Stand,Small Light & Small Moderate,Small Light,Small Moderate,Small,Light,Small,Moderate
24_06,Stand_Small Light & Small Moderate,0.0,24,06,Stand,Small Light & Small Moderate,Small Light,Small Moderate,Small,Light,Small,Moderate
24_32,Stand_Small Light & Small Moderate,0.0,24,32,Stand,Small Light & Small Moderate,Small Light,Small Moderate,Small,Light,Small,Moderate
12_09,Stand_Small Light & Small Moderate,0.0,12,09,Stand,Small Light & Small Moderate,Small Light,Small Moderate,Small,Light,Small,Moderate
24_08,Stand_Small Light & Small Moderate,0.0,24,08,Stand,Small Light & Small Moderate,Small Light,Small Moderate,Small,Light,Small,Moderate
24_38,Stand_Small Light & Small Moderate,0.0,24,38,Stand,Small Light & Small Moderate,Small Light,Small Moderate,Small,Light,Small,Moderate
24_37,Stand_Small Light & Small Moderate,0.0,24,37,Stand,Small Light & Small Moderate,Small Light,Small Moderate,Small,Light,Small,Moderate
24_04,Stand_Small Light & Small Moderate,0.0,24,04,Stand,Small Light & Small Moderate,Small Light,Small Moderate,Small,Light,Small,Moderate
24_51,Stand_Small Light & Small Moderate,0.0,24,51,Stand,Small Light & Small Moderate,Small Light,Small Moderate,Small,Light,Small,Moderate
24_18,Stand_Small Light & Small Moderate,0.0,24,18,Stand,Small Light & Small Moderate,Small Light,Small Moderate,Small,Light,Small,Moderate
24_28,Stand_Small Light & Small Moderate,0.0,24,28,Stand,Small Light & Small Moderate,Small Light,Small Moderate,Small,Light,Small,Moderate
24_22,Stand_Small Light & Small Moderate,0.0,24,22,Stand,Small Light & Small Moderate,Small Light,Small Moderate,Small,Light,Small,Moderate
24_03,Stand_Small Light & Small Moderate,0.0,24,03,Stand,Small Light & Small Moderate,Small Light,Small Moderate,Small,Light,Small,Moderate
